2026-01-31 16:01:01 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:01:01 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:01:02 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:01:02 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:21:47 | INFO     | scanner | Starting scan of 192.168.1.0/24 (254 hosts)
2026-01-31 16:22:18 | INFO     | scanner | Starting scan of 192.168.179.5/24 (254 hosts)
2026-01-31 16:22:38 | INFO     | scanner | Starting scan of 192.168.179.0/24 (254 hosts)
2026-01-31 16:22:45 | INFO     | scanner | Scan complete: 5/254 hosts reachable in 58.01s
2026-01-31 16:23:23 | INFO     | scanner | Scan complete: 34/254 hosts reachable in 64.92s
2026-01-31 16:23:40 | INFO     | scanner | Scan complete: 15/254 hosts reachable in 62.44s
2026-01-31 16:26:07 | INFO     | scanner | Starting scan of 192.168.179.0/24 (254 hosts)
2026-01-31 16:27:01 | INFO     | scanner | Scan complete: 202/254 hosts reachable in 53.30s
2026-01-31 16:27:02 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:27:02 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:27:46 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:27:46 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:28:06 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:28:06 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:29:21 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:29:21 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:51:55 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:51:55 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:52:56 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:52:56 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:52:58 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:52:58 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:53:40 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:53:40 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:54:20 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:54:20 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:54:22 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:54:22 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:54:51 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:54:51 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:57:18 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 16:57:18 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 16:58:04 | INFO     | scanner | Discovered 127.0.0.1: MAC=None, Vendor=None, OS=Windows, Ports=0
2026-01-31 17:02:25 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:02:25 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:02:26 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:02:26 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:04:22 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:04:22 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:04:22 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:04:22 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:05:02 | INFO     | scanner | Starting subnet discovery: 192.168.1.0/24
2026-01-31 17:05:02 | INFO     | scanner | Starting scan of 192.168.1.0/24 (254 hosts)
2026-01-31 17:05:41 | INFO     | scanner | Scan complete: 4/254 hosts reachable in 39.39s
2026-01-31 17:05:46 | INFO     | scanner | NEW: 192.168.1.6 (no hostname) latency=0.0ms loss=0%
2026-01-31 17:05:46 | INFO     | scanner | NEW: 192.168.1.1 (RTKGW.bbrouter) latency=0.0ms loss=0%
2026-01-31 17:05:46 | INFO     | scanner | NEW: 192.168.1.3 (V2413.bbrouter) latency=4.0ms loss=0%
2026-01-31 17:05:46 | INFO     | scanner | NEW: 192.168.1.2 (moto-pad-60-pro.bbrouter) latency=419.0ms loss=0%
2026-01-31 17:05:46 | INFO     | scanner | Discovery complete: 4 new, 0 updated, 250 unreachable
2026-01-31 17:06:22 | INFO     | scanner | Discovered 192.168.1.6: MAC=None, Vendor=None, OS=Windows, Ports=4
2026-01-31 17:06:26 | INFO     | scanner | Discovered 192.168.1.1: MAC=None, Vendor=None, OS=Windows, Ports=2
2026-01-31 17:06:33 | INFO     | scanner | Discovered 192.168.1.1: MAC=None, Vendor=None, OS=Windows, Ports=2
2026-01-31 17:06:38 | INFO     | scanner | Discovered 192.168.1.3: MAC=None, Vendor=None, OS=Windows, Ports=0
2026-01-31 17:06:41 | INFO     | scanner | Discovered 192.168.1.3: MAC=None, Vendor=None, OS=Windows, Ports=0
2026-01-31 17:07:01 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:07:01 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:07:03 | INFO     | scanner | Discovered 192.168.1.6: MAC=None, Vendor=None, OS=Windows, Ports=4
2026-01-31 17:07:05 | INFO     | scanner | Health check complete: 3/4 UP
2026-01-31 17:07:54 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:07:54 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:08:07 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:08:07 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:08:07 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:08:07 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
